CAS,PLANET,Glide_SP
298-83-9,7.526,-7.533
1374828-69-9,7.524,-7.533
1092364-38-9,7.98,-7.53
663619-89-4,7.499,-7.528
1951483-29-6,7.277,-7.524
257933-82-7,9.008,-7.523
1038984-31-4,7.416,-7.505
848942-61-0,7.762,-7.498
1282514-88-8,7.629,-7.494
252003-71-7,7.316,-7.494
213743-31-8,7.108,-7.491
1338545-07-5,8.008,-7.489
1429515-59-2,8.605,-7.488
1256349-48-0,7.211,-7.488
1338540-63-8,8.119,-7.482
371924-24-2,7.622,-7.481
1919888-06-4,7.697,-7.476
84366-81-4,9.214,-7.475
1609580-97-3,7.1,-7.473
118525-40-9,7.249,-7.471
1454299-21-8,7.06,-7.467
1234708-04-3,7.42,-7.463
1457983-28-6,7.129,-7.462
1223498-69-8,8.433,-7.457
139891-98-8,7.235,-7.45
1383716-40-2,7.127,-7.449
1174046-72-0,7.863,-7.448
2070015-09-5,7.106,-7.445
1033769-28-6,7.357,-7.445
1173699-31-4,8.515,-7.445
946518-60-1,8.212,-7.443
204077-66-7,8.368,-7.438
1542705-92-9,7.678,-7.434
1951431-22-3,7.335,-7.431
2135595-04-7,7.845,-7.431
1088965-37-0,7.787,-7.43
1346547-00-9,7.516,-7.429
17406-45-0,7.079,-7.423
1660963-42-7,8.277,-7.421
1243245-18-2,7.012,-7.421
1046787-18-1,8.541,-7.416
2009273-67-8,7.142,-7.413
1202764-53-1,7.749,-7.412
264218-23-7,7.203,-7.412
14216-03-6,7.859,-7.412
1454925-59-7,7.08,-7.41
2437547-04-9,7.109,-7.408
2056014-40-3,7.55,-7.4
2296729-00-3,7.309,-7.398
1633350-06-7,8.51,-7.391
1691249-45-2,8.51,-7.391
2245072-21-1,8.647,-7.386
950736-05-7,7.351,-7.378
857066-90-1,8.798,-7.374
2380027-49-4,8.727,-7.37
955977-50-1,8.11,-7.368
2095719-92-7,8.021,-7.366
1228013-30-6,7.927,-7.362
164991-67-7,7.548,-7.359
1432515-73-5,7.734,-7.358
1394121-05-1,7.52,-7.357
1847485-91-9,7.295,-7.352
2035814-50-5,7.6,-7.351
1450881-55-6,7.64,-7.35
1561178-17-3,7.068,-7.338
151767-02-1,7.434,-7.334
146464-95-1,8.085,-7.332
2141969-56-2,7.662,-7.332
481-46-9,10.29,-7.331
1315329-43-1,7.278,-7.331
1254473-64-7,7.58,-7.326
857402-63-2,8.201,-7.325
192705-79-6,7.068,-7.325
Clc1c(OC)cc(OC)c(Cl)c1-c(c2)ccc(c23)nc(nc3)NC[C@@H]4CN(CC4)C(=O)/C(C#N)=C\CC(C)(C)C,7.915,-7.318
271579-11-4,13.302,-7.31
62669-70-9,7.021,-7.309
1616413-96-7,7.644,-7.308
1589527-65-0,8.499,-7.307
755038-02-9,9.633,-7.306
1884220-36-3,7.631,-7.305
1422554-34-4,7.693,-7.304
2070018-33-4,8.669,-7.301
1357576-48-7,9.574,-7.301
1627709-94-7,7.117,-7.301
1353644-70-8,8.141,-7.299
2561476-24-0,7.224,-7.294
144701-48-4,7.787,-7.293
859212-16-1,8.594,-7.292
1402423-29-3,8.588,-7.29
1798871-31-4,7.412,-7.29
1128096-91-2,8.235,-7.289
1233231-30-5,7.071,-7.288
960293-88-3,7.139,-7.287
761439-42-3,9.589,-7.286
1467093-03-3,8.213,-7.285
1461-15-0,8.027,-7.284
53527-42-7,7.113,-7.284
2310135-46-5,7.05,-7.281
2519823-34-6,11.084,-7.28
1192189-69-7,8.218,-7.277
882405-89-2,9.496,-7.273
2095616-82-1,7.842,-7.264
c1cccc(NC(=O)N2)c1[C@@]23CC[N@@H+](CC3)C[C@@H](Cc4ccccc4)Nc(n5)sc(c56)cc(F)cc6,8.493,-7.263
2250323-50-1,9.976,-7.262
898280-07-4,8.243,-7.26
1093861-60-9,7.655,-7.258
21018-84-8,7.532,-7.255
193551-21-2,7.748,-7.248
1430218-51-1,7.926,-7.247
1252679-52-9,8.03,-7.244
1431697-78-7,7.526,-7.242
1116743-46-4,8.718,-7.237
1197958-12-5,9.584,-7.233
1228445-38-2,8.059,-7.231
1813527-81-9,8.734,-7.23
81246-82-4,7.926,-7.23
1628287-16-0,7.402,-7.226
319460-94-1,7.802,-7.225
2146095-85-2,7.019,-7.224
2443966-90-1,7.019,-7.224
71-67-0,8.184,-7.223
1627710-50-2,7.394,-7.219
496791-37-8,7.625,-7.219
2206736-04-9,7.198,-7.216
1345675-02-6,7.555,-7.214
1708971-55-4,9.529,-7.21
1857417-13-0,8.619,-7.206
867017-68-3,7.31,-7.204
1188910-76-0,8.265,-7.202
2313526-86-0,7.886,-7.196
761436-81-1,8.27,-7.192
1282512-48-4,8.971,-7.191
1082743-70-1,7.412,-7.184
1977495-97-8,7.463,-7.18
901398-68-3,7.022,-7.18
2543545-44-2,7.322,-7.18
934343-74-5,7.234,-7.179
2361157-34-6,7.536,-7.171
702675-74-9,8.335,-7.16
1607837-31-9,7.702,-7.159
1356962-20-3,8.284,-7.158
1390654-28-0,7.776,-7.156
117548-22-8,7.234,-7.155
1415560-64-3,9.316,-7.152
1510829-06-7,7.221,-7.149
1709823-61-9,9.193,-7.148
1793053-37-8,7.106,-7.148
1191911-26-8,7.939,-7.148
2369053-68-7,7.201,-7.144
1401682-78-7,7.652,-7.136
2055918-71-1,8.566,-7.136
912999-49-6,7.107,-7.135
2417089-74-6,12.289,-7.135
1263369-28-3,7.087,-7.134
163706-36-3,7.38,-7.121
384859-58-9,7.653,-7.121
1440898-61-2,7.956,-7.12
2035509-96-5,9.882,-7.117
1404437-62-2,7.102,-7.116
1857417-10-7,9.043,-7.116
1523406-39-4,7.623,-7.114
1614245-70-3,7.855,-7.113
600734-06-3,7.355,-7.112
39432-56-9,7.619,-7.111
796967-16-3,7.031,-7.111
1189767-28-9,7.164,-7.11
1642581-63-2,8.701,-7.109
1313407-95-2,9.125,-7.103
1703793-34-3,8.037,-7.098
1190378-57-4,8.255,-7.095
82640-04-8,7.984,-7.092
25465-77-4,11.164,-7.091
1818389-84-2,7.419,-7.077
2095393-15-8,7.216,-7.077
51419-48-8,7.608,-7.075
1095382-05-0,7.458,-7.072
333415-38-6,7.032,-7.072
1708971-72-5,9.338,-7.071
2349367-89-9,8.175,-7.065
2132961-46-5,7.267,-7.055
1438391-30-0,7.264,-7.052
890129-26-7,8.613,-7.051
1410880-22-6,8.183,-7.048
1800465-47-7,7.14,-7.046
1216665-49-4,7.619,-7.045
1346546-69-7,7.03,-7.043
873225-46-8,7.564,-7.036
1817791-73-3,8.867,-7.034
1220026-26-5,7.337,-7.032
790704-42-6,7.84,-7.028
900305-37-5,7.545,-7.023
2146091-22-5,7.733,-7.021
1238673-32-9,7.991,-7.021
1231889-53-4,8.211,-7.018
912806-16-7,7.378,-7.016
761437-28-9,7.755,-7.016
558640-51-0,7.702,-7.015
1505484-82-1,8.369,-7.015
1315355-93-1,8.213,-7.014
1493764-08-1,7.576,-7.008
211555-05-4,7.498,-7.005
853953-65-8,8.18,-7.004
2185859-59-8,8.354,-7.003
1415800-43-9,7.568,-7.002
1418013-75-8,7.748,-7.002
1353552-97-2,7.703,-7.001
